,Var1,Var2,Freq,Changes
687,Other behavioural (enter in outcome label and in comments box),OFT – time spent in marginal zone,2,Locomotor behaviour or arousal (e.g. social interaction test)
692,Locomotor behaviour or arousal (e.g. social interaction test),OFT – total distance,2,
700,Locomotor behaviour or arousal (e.g. social interaction test),Open Field - distance travelled,2,
705,Fear generalisation,Open Field - time in centre,2,Locomotor behaviour or arousal (e.g. social interaction test)
713,Fear generalisation,Open Field - time in margin,2,Locomotor behaviour or arousal (e.g. social interaction test)
727,Other behavioural (enter in outcome label and in comments box),Passive avoidance - latency,3,
736,Other neurobiological (enter in outcome label and in comments box),plasma cort,2,Stress response
742,Non-NT gene or protein expression/level (e.g. BDNF in plasma or western blot),prefrontal BDNF,2,
749,"Neurotransmitter (NT) or neurotransmitter modulator levels (e.g. dopamine, cannabinoids)",Prefrontal cortex - 5-HIAA,2,
757,"Neurotransmitter (NT) or neurotransmitter modulator levels (e.g. dopamine, cannabinoids)",Prefrontal cortex - 5-HT,2,
765,"Neurotransmitter (NT) or neurotransmitter modulator levels (e.g. dopamine, cannabinoids)",Prefrontal cortex - DA,2,
773,"Neurotransmitter (NT) or neurotransmitter modulator levels (e.g. dopamine, cannabinoids)",Prefrontal cortex - DOPAC,2,
781,"Neurotransmitter (NT) or neurotransmitter modulator levels (e.g. dopamine, cannabinoids)",Prefrontal cortex - NE,2,
791,Other behavioural (enter in outcome label and in comments box),Radial Arm Water Maze - LTM,2,
799,Other behavioural (enter in outcome label and in comments box),Radial Arm Water Maze - STM,2,
808,Other neurobiological (enter in outcome label and in comments box),resting cort,1,Stress response
814,Non-NT gene or protein expression/level (e.g. BDNF in plasma or western blot),serum BDNF,6,
822,Non-NT gene or protein expression/level (e.g. BDNF in plasma or western blot),Serum BDNF,6,
830,Non-NT gene or protein expression/level (e.g. BDNF in plasma or western blot),serum corticosterone,2,Stress response
838,Non-NT gene or protein expression/level (e.g. BDNF in plasma or western blot),Serum corticosterone,8,Stress response
846,Non-NT gene or protein expression/level (e.g. BDNF in plasma or western blot),serum IGF-1,2,Other neurobiological (enter in outcome label and in comments box)
854,Non-NT gene or protein expression/level (e.g. BDNF in plasma or western blot),Serum IGF-1,2,Other neurobiological (enter in outcome label and in comments box)
857,Fear generalisation,Shuttlebox - % extinction,2,"Fear memory (e.g. object recognition, episodic)"
867,Freezing behaviour,Shuttlebox - freezing time,2,
880,Other neurobiological (enter in outcome label and in comments box),SOD activity,3,Other neurobiological (enter in outcome label and in comments box)
887,Other behavioural (enter in outcome label and in comments box),Spatial memory – T-maze alternation %,6,
895,Other behavioural (enter in outcome label and in comments box),Sucrose consumption,2,
902,Non-NT gene or protein expression/level (e.g. BDNF in plasma or western blot),Tunnel staining,4,Other neurobiological (enter in outcome label and in comments box)
